DepMap_ID,brain,lung,liver,bone,kidney
ACH-000811,NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000856,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000866,NonMetastasis,Metastasis,Metastasis,NonMetastasis,NonMetastasis
ACH-000879,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000885,NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000895,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000897,NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000909,NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000911,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000919,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000925,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis
ACH-000936,NonMetastasis,Metastasis,NonMetastasis,Metastasis,Metastasis
ACH-000939,NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000940,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis
ACH-000941,Metastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000943,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000946,Metastasis,NonMetastasis,Metastasis,Metastasis,Metastasis
ACH-000947,NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000948,Metastasis,Metastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000950,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,Metastasis
ACH-000954,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000955,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000956,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000957,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000958,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000959,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000961,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000962,NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000965,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000966,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000967,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000970,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000971,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000972,NonMetastasis,Metastasis,Metastasis,NonMetastasis,Metastasis
ACH-000973,NonMetastasis,Metastasis,NonMetastasis,Metastasis,Metastasis
ACH-000974,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-000977,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000978,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis
ACH-000982,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000984,NonMetastasis,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis
ACH-000985,NonMetastasis,NonMetastasis,NonMetastasis,Metastasis,Metastasis
ACH-000988,NonMetastasis,Metastasis,NonMetastasis,NonMetastasis,Metastasis
ACH-000990,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
ACH-000994,Metastasis,NonMetastasis,Metastasis,Metastasis,NonMetastasis
ACH-000997,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-001145,NonMetastasis,Metastasis,Metastasis,Metastasis,Metastasis
ACH-001190,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis,NonMetastasis
